Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
EXTRA FINE UNSALTED BUTTER (Délice),3054.32,730,,0.72g,0.63g,>80g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANETTE ASSIDET ZGOUGOU (Délice),585.76,140,,3.9g,20g,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUZA (Délice),486.5992,116.3,,3.1g,14g,5.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09g,,,,,,,,,,,,,,,,,,,,,,,,,
BLENDY(Délice),497.896,119,,2.6g,16.9g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAN’UP - PEACH MELBA / TROPICAL / STRAWBERRY (Délice),338.904,81,,1.3g,15.5g,1.5g,8.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAN’UP - VANILLA (Délice),355.64,85,,1.3g,16.6g,1.5g,10g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIKOS WITH FRUITS (Délice),618.3952,147.8,,3.2g,16.5,7.7g,11.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dattes dénoyautées,,319,,,,2.3,74.7,,71.4,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Dattes bio de Tunisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dattes dénoyautées bio,,289,,,,2.2,64,,58,,,,,,,,,6.9,,,,,0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Dattes séchées dénoyautées,,296,,,,2.5,67,,48,,,,,,,,,0,,,,,0.1,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Golden Agri Product,1395,329,,,,2.4,75,,63.3,,,,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Fatayers aux legumes,1329,317,,,,6,41,,6.1,,,,,,,,,2.7,,,,,4.3,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,0.288,,,,,,,,,,,,
Huile d'olive vierge extra,3374,821,,,,0,0,,0,,,,,,,,,0,,,,,19.3,57.3,14.5,,,,,,,,,,,,,,,0,0,0,,,0,,,,,0,,0,,,,,,,,,,,,
Dattes de Tunisie,,304,,,,2.3,69,,62,,,,,,,,,7.6,,,,,0.2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,4,,,,,,,,,,,,
Orange Maltaise Tunisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dattes deglet nour de Tunisie,,329,,,,2.4,75,,63.3,,,,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Feuilles de brick,,282.1300049,,,,7.050000191,42.25,,1.169999957,,,,,,,,42.4,,,,,,2.609999895,,,,,,,,,,,,,,,,,,2.849999905,,,,,,,,,,,1.139999962,,,,,,,,,,,,
Dattes deglet nour dénoyautées,,279,,,,2.200000048,64,,57,,,,,,,,,6.9,,,,,0.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Red flavor premium olive oil,,120,,,,0,0,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Barre energetique chococrunch,,417,,,,15.1,32,,23.7,,,,,,,,,12.12,,,,,3.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.4,,,,,,,,,,,,
Huile d'olive vierge extra Biologique,3700,900,,,,0,0,,0,,,,,,,,,0,,,,,15,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Harissa du CapBon,331,72,,,,2.9,11,,6.9,,,,,,,,,2.5,,,,,0.5,,,,,,,,,,,,,615,,,,,1.7,,,,,,,,,,,0.68,,,,,,,,,,,,
Eau minérale naturelle,,0,,,,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,59.475,53.2,,,,,29.76,,,3.01,,23.79,,,,,,,,,,,,
Pâte de dattes,,299,,,,2.3,68,,62,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Dattes,,295,,,,2.3,66,,64,,,,,,,,,0,,,,,0.4,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,0.016,,,,,,,,,,,,
Dattes branchées de Tunisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sablito crème chocolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datte Delet Nour Bio,,282,,,,2.7,62,,58,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.04,,,,,,,,,,,,
Dattes Deglet Nour Branchées,,304,,,,2.2,67.9,,67.7,,,,,,,,,9.7,,,,,0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Dattes deglet nour,,284,,,,2,68,,68,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Datte,1200,282,,,,2.45,75,,63.4,,,,,,,,,8,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.008,,,,,,,,,,,,
Harissa artisanale de Tunisie,,157,,,,6,25.6,,7.4,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,1.08,,,,,,,,,,,,
Dattes naturelles branchées,,290,,,,2.7,65,,60,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,0.002,,,,,,,,,,,,
Dattes naturelles,1280,306,,,,2.2,73,,69,,,,,,,,,2.2,,,,,0,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,,,0.0184,,,,,,,,,,,,
Datte de tunisie,,319,,,,2.4,73,,65,,,,,,,,,8,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.04,,,,,,,,,,,,
Dattes branchees naturelles de Tunisie Deglet Nour,,304,,,,2.2,67.9,,67.7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Dattes denoyautees,,285,,,,2.2,64,,58,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.04,,,,,,,,,,,,
Olives vertes fondues ail & herbes,,112,,,,0,13.2,,0,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.2,,,,,,,,,,,,
Harissa,348,79,,,,2.9,11,,6.5,,,,,,,,,1.6,,,,,0.5,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,0.72,,,,,,,,,,,,
Sardines de tunisie,,206,,,,25.5,0,,0,,,,,,,,,0,,,,,1.5,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.28,,,,,,,,,,,,
Dattes degletnour,,318,,,,2.3,73,,68,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
"ROMARIN feuilles ""COOK"" 25g*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punch cidre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raieb,,52,,,,3.1,4.5,,4.5,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.04,,,,,,,,,,,,
Feuilles De Brick Malsouka Tunisie 10x 1 Sachet,,250,,,,8.5,45,,1.8,,,,,,,,47.9,0,,,,,0,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,1,,,,,,,,,,,,
Yaourt saveur Fruits Exotiques,,97,,,,3.3,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardines de mediterranée,,139,,,,10.54,0,,0,,,,,,,,,0,,,,,5.5,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,0.352,,,,,,,,,,,,
Bio terra délassant huile d olive vierge,,821,,,,0,0,,0,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Datteri di Tunisia,,299,,,,2.4,68,,64,,,,,,,,,7.8,,,,,0.03,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Dattes Branchées Coffret 500 G Récolte,1395,329,,,,2.4,75,,63.3,,,,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Riad Harissa Berbère,,309.94,,,,1.21,0,,0,,,,,,,,,3.61,,,,,12.2,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,0.764,,,,,,,,,,,,
Thon entier à l'huile d'olive vierge,1407,339,,,,24,0,,0,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,0.44,,,,,,,,,,,,
Thon entier,,339,,,,24,0,,0,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,0.44,,,,,,,,,,,,
Eau minérale naturelle Gazeifiée,0,0,,,,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1075,179,,,,,68.2,,,14,,430,,,,,,,,,,,,
Jektis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.45,,,,,,,,,,,52.18,,,,,,,,,,,,
Délice Mamzouj,461,110,,,,2.9,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection de sardines de Tunisie à l'huile d'olive vierge extra,582,139,,,,10.54,0,,0,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,0.351,,,,,,,,,,,0.1404,,,,,,,,,,,,
Huile d'Olive Extra Vierge Bio,3700,900,,,,0,0,,0,,,,,,,,,0,,,,,14,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Huile d'Olive Vierge Extra Bio,3700,900,,,,0,0,,0,,,,,,,,,0,,,,,16,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,20,,,,,,,
ORANGE MALTAISE de Tunisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sel de cuisine iodé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huile d'olive vierge extra bio de Tunisie,,900,,,,0,0,,0,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Datteri di Tunisia in Ramo  Deglet Nour,,297,,,,2.5,67,,63,,,,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,656,,0,,,,,,,,,,,,
Barre cacahuètes,2067,496,,,,15.54,31.94,,23.65,,,,,,,,,7.84,,,,,5.08,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,0.14,,,,,,,,,,,,
Confiture de figue,1136,271.32,,,,0.55,74,,68,,,,,,,,,2.1,,,,,0.04,0.05,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Double concentre de tomates,564,71,,,,4,29.51,,25,,,,,,,,,1.4,,,,,0.02,,,,,,,,,,,,,,,,,,5.6,1720,,,68,,,,,,,2.24,,,,,1.8,,65,,,,,
Sardines de Méditerranée,668,152,,,,11,0,,0,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.32,,,,,,,,,,,,
Poudre de dattes de Tunisie,,353,,,,2.7,80,,74,,,,,,,,,11,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datiles Dat Cha 500 gr.,,304,,,,2.3,69,,62,,,,,,,,,7.3,,,,,0.2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Harissa Paste,302,72,,,,2.9,11,,6.9,,,,,,,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,0.68,,,,,,,,,,,,
Les dates bio deglet nour,,287,,,,1.8,65,,65,,,,,,,,,7.3,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.04,,,,,,,,,,,,
Sticop confiture de coing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double concentré de tomates,,91,,,,3.6,15,,15,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,0.432,,,,,,,,,,,,
Beurre de cacahuète Fedibio,,603,,,,30,13,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huile d'olive douce vierge extra,3358,817,,,,0,0,,0,,,,,,,,,,,,,,16,63,11,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,24,,,,,,,
Confiture Coing,1219,291,,,,0.25,72,,62,,,,,,,,,2.5,,,,,0.03,0.06,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Extra Virgin Olive Oil,,822,,,,0,0,,0,,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Sardines à l'huile d'olive vierge extra,,204,,,,24,0.5,,0.5,,,,,,,,,0.5,,,,,3.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.4,,,,,,,,,,,,
Thon entier à l'huile d'olive,1407,339,,,,24,0,,0,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,0.44,,,,,,,,,,,,
Sel Fin Sèché Iodé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eau minerale,,,,,,0,0,,0,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,99.25,109,,,,,32.2,,,1,,39.7,,,,,,,,,,,,
Thon entier à l'huile végétale,766,183,,,,9.43,0,,0,,,,,,,,,,,,,,3.34,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,0.536,,,,,,,,,,,,
Confiture de Coing,996,238,,,,0.2,59,,49,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Lait demi écrémé,,44,,,,3,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,
Deglet Nour Dates &quot;on branch&quot;,1386,323,,,,2.8,72.8,,72.8,,,,,,,,,0,,,,,0.1,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Choco Pops Energy Snacks,,293.7,,,,3.89,53,,50.8,,,,,,,,,12,,,,,1.78,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,0.656,,,,,,,,,,,,
Huile d’olive vierge extra Délicate,,824,,,,0,0,,0,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Harissa de la Tunisie,302,72,,,,2.9,11,,6.9,,,,,,,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,0.68,,,,,,,,,,,,
Huile d'olive de Tunisie Bio,,120,,,,0,0,,0,,,,,,,,,0,,,,,2.67,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,0,,0,,,,,,,,,,,,
double concentré de tomate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dattes deglet nour de Tunisie branchée,,153,,,,1.1,,,35,,,,,,,,,1,,,,,0.1,,,,,,,,,,,,,,,,,0,2.5,,,,,,,,,,,1,,,,,,,,,,,,
Datteln natur lose,,300,,,,2.4,65,,56,,,,,,,,,8,,,,,0.1,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Dattes branchées naturelles de Tunisie,,287,,,,1.81,66.7,,64.7,,,,,,,,,7.3,,,,,0.08,,,,,,,,,,,,,,,,,,0.1,,,0.22,,,,,,696,,0.04,,,,,,,,,,,,
Deglet Nour de Tunisie,1230,290,,,,2.7,65,,60,,,,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,0.005,44.9,,,2.7,,47.2,,65,750,,0.002,,,,,,,,,0.12,,,
Huile d'olive de tunisie vierge extra,,120,,,,0,0,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Dattes bio,,276,,,,2,66.1,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,87.5,,,,1.9,,,,57,,,35,,425,,,,,3,,,,,
Huile d'olive vierge extra fruitée,3626,866,,,,0,0,,0,,,,,,,,,,,,,,13,72,8,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Huile d’olive vierge extra Grand Cru Tunisienne,,900,,,,0,0,,0,,,,,,,,,0,,,,,19,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Mediterroir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huile d’olive vierge extra,,120,,,,0,0,,0,,,,,,,,,,,,,,2,10,1.5,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Huile d'olive vierge extra Al Jazira,,120,,,,0,0,,0,,,,,,,,,0,,,,,2,10,1.5,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,
Huile d’olive extra vierge,,824,,,,0,0,,0,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Datteln,,276,,,,2,66.09999847,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datte séchée,,290,,,,5.5,57,,40.2,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Dattes moelleuses deglet nour dénoyautées biologiques,,286,,,,2.2,64,,64,,,,,,,,,6.9,,,,,0.3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Lait,134,32,,,,3,4.5,,0,,,,,,,,,1,,,,,0.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Huile d'olive de Tunisie vierge,,821,,,,0,0,,0,,,,,,,,,,,,,,19.3,57.3,14.5,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Harrissade : Tapenade aux olives et à l'harissa berbère,,46.58,,,,1.33,9.18,,0.41,,,,,,,,,0.14,,,,,0,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,0.224,,,,,,,,,,,,
Sardine de Tunisie à l'harissa,,208,,,,24,0,,0,,,,,,,,,0,,,,,1.5,3.8,5,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.28,,,,,,,,,,,,
Huile d'olive,3367,819,,,,0,0,,0,,,,,,,,,0,,,,,15,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Citrons confits,,5,,,,0,1,,0,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.32,,,,,,,"0,0012 g",,,,,
Moussaka a la libanaise,,133,,,,1.7,5.2,,2.5,,,,,,,,,3.3,,,,,1.3,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,0.252,,,,,,,,,,,,
Melliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.75,97.6,,,,,13.5,,,0.9,,36.7,,,,,,,,,,,,
Huile d'olive tunisie,,821,,,,0,0,,0,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Chocoline,1567,379,,,,4.8,79,,76,,,,,,,,,0,,,,,1.5,0.8,,,,,,,,,,,,,,,,,0.04,4.18,,,,,,,,418.5,,0.016,,1.17,,,0.22,,,,,,,
Smile  au Lait,,53,,,,0.74,7.43,,3.56,,,,,,,,,0.44,,,,,1.05,,,,,,,,,,,,,,,,,0.05,49.125,6.91,,,0.3,,,,,35.84,,19.65,,,,,,,,,,,,
Dattes dénoyautées,,298,,,,2,68,,63,,,,,,,,,7.9,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.04,,,,,,,,,,,,
Tomatade,2214,535,,,,5.9,18.6,,15.29,,,,,,,,,4.3,,,,,7.1,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,0.88,,,,,,,,,,,,
Huile D'olive Vierge De Tunisie Bio & équitable,3700,900,,,,0,0,,0,,,,,,,,,0,,,,,21.5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
eau minérale naturelle gazeuse,,1,,,,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1000,180,,,,,74,,,6.2,,400,,,,,,,,,,,,
Dattes deglet nour de Tunisie standard,,277,,,,1.81,74.97,,66.47,,,,,,,,,6.7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datte Deglet Nour de Tunisie,,295,,,,2.3,66.8,,64.7,,,,,,,,,9.3,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.004,,,,,,,,,,,,
Huile d’olive de Tunisie vierge extra,,821,,,,0,0,,0,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Xplose,,491,,,,4.95,65.5,,23.56,,,,,,,,,0,,,,,10.05,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Harissa Sauce Piquante,,29,,,,0.4,6.2,,4.5,,,,,,,,,0,,,,,0.1,,,,,,,,,,,,,,,,,,3.34,,,,,,,,,,,1.336,,,,,,,,,,,,
Activia Nature,287,69,,,,3.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olives noires bio tunisie,,566.25,,,,0,25.78,,0,,,,,,,,,0,,,,,14.7,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,1.12,,,,,,,,,,,,
La Pétillante Poire (6) Canettes (6X33CL),136,32,,,,0,8,,8,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.0425,,,,,,,,,,,0.017,,,,,,,,,,,,
Organic Extra Virgin Olive Oil,,822,,,,0,0,,0,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harissa du Cap Bon,,71,,,,2.1,10.88,,5.24,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,0.756,,,,,,,,,,,,
Leben (lait fermenté),201,48,,,,3,4.5,,4.5,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,0.1,0.128,,,,,,,,,,0.04,,,,,,,,,,,,
Double Concentree de tomate,355.5,84,,,,2.75,15,,15,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,0.108,,,,,,,,,,,,
Apla,,23,,,,0,10,,10,,,,,,,,,0.1,,,,,0,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,0.032,,,,,,,,,,,,
Pâte de dattes biologiques,,280,,,,3.3,64,,58.7,,,,,,,,,8,,,,,0.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Huile d'olive Extra Vierge,,120,,,,0,0,,0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,,
Terra Delyssa,,821,,,,0,0,,0,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Confiture de fraise,1235,295.97,,,,0.87,72,,65,,,,,,,,,0.8,,,,,0.01,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
Tomates Double Concentré,,105,,,,1.32,4.43,,3.14,,,,,,,,,1.29,,,,,0,,,,,,,,,,,,,,,,,0.55,66.75,,,,,,,,,,,26.7,,,,,,,,,,,,
Huile vierge extra biologique,3700,900,,,,0,0,,0,,,,,,,,,0,,,,,17,68,15,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,
HUILE D\'OLIVES DE TUNISIE VIERGE EXTRA BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harissa de Tunisie,,72,,,,2.9,11,,6.9,,,,,,,,,2.5,,,,,0.5,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,0.68,,,,,,,,,,,,
